ID,Age,Gender,Race,Occupation,Education,Annual income (USD),What VR headset (or head-mounted display) do you use for SVR?,Which Social Virtual Reality (SVR) platform do you use the most? - Selected Choice,For how long did you use the main platform?,How often do you use your main platform (in hours per week)? - 1,How do you feel being anonymous in a virtual space?,What does it mean for you to be represented by the avatar in SVR?,When and why do you 'mute' other SVR users (if ever)?,How does it feel when people you know make eye contact and/or stare at you in SVR? Why?,How does it feel when strangers make eye contact and/or stare at you in SVR? Why?,What do you feel when someone known to you tries to virtually touch you? Why?,What do you feel when a stranger tries to virtually touch you? Why?,"Have you ever felt unsafe during interactions with others? If yes, in what situations and why?"
svr3,22,Female,Hispanic,student/worker,High School Diploma,$15 000 - 34 999,Meta quest 2,VR Chat,Around 6 months,6,"i feel ok, we want a safe  space",I like to see myself reflected in an avatar because I want what I'm doing in my free time to also resonate with me.,if they annoying me ,i just know because the way they look at you is different ,"First of all, is kinda weird but then its ok ",i don't feel any weirdness in that ,"weird, i think they are insane or something like that ",i don't felt unsafe yet
svr5,21,Female,Hispanic,Student,Bachelor's degree,$15 000 - 34 999,Nintento Switch,Other,Around a year,8,"
It's something cool, since they don't know you and you don't feel judged","Cool, you can decorate yourself however you want.",When they are rude or get violent.,"I don't feel weird, on the contrary, I like it.","I don't feel weird, I think is good to take me a part of the game.","I hate it, I don't like physical contact","I hate it, I don't like physical contact","No, never."
svr7,23,Female,Black,Administrator,Bachelor's degree,$35 000 - 49 999,Vrg pro 3D virtual reality glasses ,VR Chat,Around 6 months,3,I don't know how I feel,It feels amazing ,When they talk a lot of unnecessary things,A bit weird if they stare for too long,It feels weird at first ,I can't explain the feeling but it feels unreal,A bit weird ,No
svr10,33,Female,Black,Administration,High School Diploma,$15 000 - 34 999,Samsung ,VR Chat,Around 6 months,4,It feels good because there are a lot of strangers which it can be unsafe for us if we are not anonymous ,It means a lot as many people take advantage ,When am busy with something else that doesn't concern other users,It feels good because it shows that they are focused in your conversation ,A bit weird because we don't know each other but at the same time that's the point to meet strangers,It feels weird because I be asking myself why shuld they want to touch me especially when is the opposite sex,I feel scared because I don't know their intentions ,"Yes, some people will communicate with me in a way that is unethical"
svr11,39,Female,Black,Freelancer,Bachelor's degree,$100 000 or more,Sony Playstation VR,Facebook/Meta Spaces,More than a year,2,"I absolutely love it, it saves me the direct physical interaction","I am opened to this, as I am an introvert",When I am not communicating.,Personal Boudary assists in avoiding unwanted interactions between avatars,It can be uncomfortable unless in terms of responding to questions,The feeling may be the same,It can be uncomfortable. Thanks to personal boundardy it keeps the distance professional,No
svr13,27,Female,Black,Accountant,Bachelor's degree,$100 000 or more,Virtual Reality Glasses with Stereo,Facebook/Meta Spaces,Around 6 months,12,I've never been anonymous in a virtual space.,I would customize the avatar in a way that would represent my personality.,"You can mute all participants when they join your meeting, and restrict their ability to unmute themselves, when you set up your SVR meeting. This will help to prevent any unwanted interruptions.",It not really much of a big deal because it is normal.,Making eye contact is normal and it show that person is paying attention if you speaking.,You can basically see their hand stretching out to touch you but in reality they are not next to you but you may be freaked out sometimes.,It may freak you out sometimes.,No
svr20,31,Female,latino,Lawter,Master's degree,$15 000 - 34 999,Oculus Quest,VR Chat,More than a year,7,"I feel nice, free","Nothing, it's a virtual avatar, not my real self",When they become too annoying or are making me uncomfortable/unsafe,Nothing because I know how avatars work,Nothing because I know how avatars work,"The touch
Mainly because the brain is tricked into believing something is there","I mean, depends on where and how, usually I accept it","When people bring their real life problems and start making them everybody else's problems, brings back bad memories"
svr28,22,Female,Black,Junior Manager,Bachelor's degree,$35 000 - 49 999,Quest 2,Facebook/Meta Spaces,Around a year,12,It’s actually very peaceful ,I don’t take the avatar lightly because it represents who I am,They can be distracting sometimes,It feels a little bit weird ,It’s normal because I think they are getting to know me ,It depends in my relationships with the person ,I feel uncomfortable ,When there are too much strangers 
svr30,24,Female,Black,Junior management ,High School Diploma,$35 000 - 49 999,PlayStation VR headset ,VR Chat,Around a year,2,I feel comfortable because i don't want to be judged ,It does not mean anything just something i prefer ,I don't mute others ,I sometimes feel shy because i don't feel comfortable being looked in the eye ,It feels weird because i am shy person ,If it's someone i know i feel fine,I feel scared because i don't like strangers touching me ,No I have not
svr31,27,Female,Black,Am a soccer coach ,Bachelor's degree,$35 000 - 49 999,Mac,Facebook/Meta Spaces,Around 6 months,12,Bad ,It shows my character ,If their time is up ,It good cause it shows they are paying attention ,"It's good , because it shows am not ignored ","Happy, because it's the easiest way ","Happy , am always eager to meet new people ",No
